A1100021,OUR LADY OF THE VALLEY CATHOLIC SCHOOL,2,13,1201 E BOGARD RD,WASILLA,00170,170,AK,02,99654,9073760883,170,6,Yes,,11,13,7,7,5,7,7,3,4,6,,,,,70,59,1,4,3,2,4,2,43,5,32,1,3,1,1,3,1.69,6.77,5.08,3.38,6.77,3.38,72.88,11.8,1,MATANUSKA-SUSITNA,National Catholic Educational Association (NCEA),,,,,,,
A9700068,PACIFIC NORTHERN ACADEMY,2,13,9251 LAKE OTIS PKWY,ANCHORAGE,00020,020,AK,02,99507,9073331080,,6.25,Yes,,22,10,6,10,8,10,14,8,8,10,,,,,106,84,,,,,,,,9,11,1,1,1,3,1,,,,,,,,9.33,30,ANCHORAGE,National Association of Independent Schools (NAIS),,,,,,,
A1300059,SPRUCETREE MONTESSORI SCHOOL,2,11,286 N CUSHMAN ST,FAIRBANKS,00090,090,AK,02,99701,9074798733,191,7,Yes,,42,16,8,9,3,2,2,4,,,,,,,86,44,3,0,2,0,31,0,8,7.6,13,1,2,1,3,1,6.81,0,4.54,0,70.45,0,18.18,5.78,30,FAIRBANKS NORTH STAR,American Montessori Society (AMS),,,,,,,
A1500063,ST ANN'S ACADEMY,10,13,2301 N WASILLA FISHHOOK RD,WASILLA,00170,170,AK,02,99654,9073733370,173,6,Yes,,,,,,,,2,1,2,2,,,,,7,7,0,0,0,0,6,1,0,1,32,1,1,1,3,3,0,0,0,0,85.71,14.28,0,7,30,MATANUSKA-SUSITNA,School does not belong to ANY associations or organizations,,,,,,,
01604012,ST ELIZABETH ANN SETON SCHOOL,3,11,2901 HUFFMAN RD,ANCHORAGE,00020,020,AK,02,99516,9073453712,180,7.75,Yes,,,21,17,21,23,26,22,17,,,,,,,147,147,0,1,4,5,117,6,14,8.4,11,1,1,1,1,1,0,0.68,2.72,3.4,79.59,4.08,9.52,17.5,1,ANCHORAGE,National Catholic Educational Association (NCEA),,,,,,,
00023607,ST MARY'S SCHOOL,2,13,2932 MILL BAY RD,KODIAK,00150,150,AK,02,99615,9074863531,182,7,Yes,,17,8,6,9,6,6,8,6,7,6,,,,,79,62,6,2,3,1,18,2,30,5.9,33,1,1,1,1,3,9.67,3.22,4.83,1.61,29.03,3.22,48.38,10.5,1,KODIAK ISLAND,National Catholic Educational Association (NCEA),,,,,,,
A1500064,STARBRIGHT EARLY LEARNING CENTER,2,9,3531 E TUDOR RD,ANCHORAGE,00020,020,AK,02,99507,9075621414,260,8.5,Yes,,50,16,4,3,3,4,,,,,,,,,80,30,1,3,3,4,17,2,0,1.9,11,1,6,1,3,1,3.33,10,10,13.33,56.66,6.66,0,15.78,30,ANCHORAGE,School does not belong to ANY associations or organizations,,,,,,,
A1300062,THE SEER SCHOOL,3,13,PO BOX 1031,SITKA,00220,220,AK,02,99835,9077476224,180,6,Yes,,,3,1,1,1,3,5,2,2,1,,,,,19,19,0,1,0,1,4,12,1,4,33,1,3,1,3,3,0,5.26,0,5.26,21.05,63.15,5.26,4.75,30,SITKA,School does not belong to ANY associations or organizations,,,,,,,
A1300067,WASILLA LAKE CHRISTIAN SCHOOL,2,17,2001 E PALMER WASILLA HWY,WASILLA,00170,170,AK,02,99654,9073736439,180,6.58,Yes,,4,6,5,7,8,6,8,10,8,9,9,9,4,8,101,97,10,6,1,3,77,0,0,10.1,32,1,1,3,2,3,10.3,6.18,1.03,3.09,79.38,0,0,9.6,8,MATANUSKA-SUSITNA,Association of Christian Schools International (ACSI),,,,,,,
A1700048,WHITESTONE FARMS TRAINING CENTER / WHITESTONE HS,3,17,PO BOX 1229,DELTA JUNCTION,00240,240,AK,02,99737,9078034999,180,9,No,,,3,4,6,3,2,8,4,4,3,2,4,3,3,49,49,0,0,1,0,46,0,2,13.8,43,1,1,3,2,4,0,0,2.04,0,93.87,0,4.08,3.55,8,SOUTHEAST FAIRBANKS,School does not belong to ANY associations or organizations,,,,,,,
A1300072,WORLD HARVEST CHRISTIAN SCHOOL,8,17,PO BOX 770454,EAGLE RIVER,00020,020,AK,02,99577,9076966062,180,6,Yes,,,,,,2,2,2,2,1,2,2,1,,1,15,15,1,0,1,2,7,0,4,6.1,31,1,1,3,2,3,6.66,0,6.66,13.33,46.66,0,26.66,2.45,8,ANCHORAGE,School does not belong to ANY associations or organizations,,,,,,,
Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2021 Aspose Pty Ltd.
